frame,timestamp,person_id,x1,y1,x2,y2
59,4.2142815,7,232,83,324,296
60,4.28571,2,367,65,442,204
60,4.28571,7,237,65,329,285
61,4.3571385000000005,2,370,64,439,204
61,4.3571385000000005,7,238,61,328,282
62,4.428567,2,373,74,436,197
62,4.428567,7,234,51,321,276
62,4.428567,8,0,99,104,268
63,4.4999955,2,375,55,480,190
63,4.4999955,7,228,45,314,269
63,4.4999955,9,192,296,287,359
64,4.571424,2,380,49,484,185
64,4.571424,7,223,39,322,263
64,4.571424,10,0,89,106,255
65,4.6428525,2,383,47,469,182
65,4.6428525,7,212,44,308,265
65,4.6428525,10,0,100,89,269
66,4.714281,2,377,49,461,183
66,4.714281,7,205,48,301,271
66,4.714281,10,0,104,79,272
67,4.7857095,2,369,51,455,186
67,4.7857095,7,198,51,297,277
67,4.7857095,10,0,108,70,278
68,4.857138,2,356,58,446,189
68,4.857138,7,192,59,294,281
68,4.857138,10,0,112,56,290
69,4.9285665000000005,2,363,64,438,190
69,4.9285665000000005,7,181,67,295,287
70,4.999995,2,350,74,432,190
70,4.999995,7,167,75,297,290
71,5.0714235,2,346,57,445,192
71,5.0714235,7,138,92,292,298
72,5.142852,2,355,46,444,169
72,5.142852,7,126,83,288,298
73,5.2142805,2,370,45,432,160
73,5.2142805,7,118,72,288,287
74,5.285709,2,363,41,429,159
74,5.285709,7,99,66,303,276
75,5.3571375,2,356,37,426,152
75,5.3571375,7,101,56,323,279
76,5.428566,2,348,40,424,151
76,5.428566,7,84,56,301,299
77,5.499994500000001,2,348,45,417,147
77,5.499994500000001,7,78,54,288,311
78,5.571423,2,333,54,414,167
78,5.571423,7,123,63,264,306
79,5.6428515,2,338,60,417,176
79,5.6428515,7,160,72,265,267
80,5.7142800000000005,2,345,78,417,199
80,5.7142800000000005,7,162,79,275,322
81,5.7857085,7,157,79,293,335
82,5.857137,7,131,87,305,328
82,5.857137,11,377,92,425,181
83,5.9285655,7,162,96,333,330
83,5.9285655,11,366,100,433,227
84,5.999994,7,150,100,338,343
85,6.0714225,7,145,100,339,357
85,6.0714225,12,378,106,440,217
86,6.142851,7,256,103,362,317
87,6.2142795,7,273,96,369,355
87,6.2142795,13,416,121,483,241
88,6.2857080000000005,7,267,95,378,346
88,6.2857080000000005,13,420,122,487,240
89,6.3571365,7,303,90,406,332
89,6.3571365,13,436,121,498,252
90,6.428565,7,280,81,414,345
90,6.428565,13,415,108,476,231
91,6.4999935,7,236,68,411,356
91,6.4999935,13,404,97,457,209
92,6.571422,7,223,59,413,342
92,6.571422,13,397,89,450,204
93,6.6428505,7,232,50,415,322
93,6.6428505,13,403,81,443,195
94,6.714279,7,290,48,429,284
94,6.714279,13,400,80,446,187
95,6.7857075,7,316,35,439,286
95,6.7857075,13,409,66,438,134
96,6.857136000000001,7,314,25,451,317
96,6.857136000000001,14,575,210,639,276
97,6.9285645,7,317,8,484,270
98,6.999993,7,327,1,504,254
99,7.0714215000000005,7,302,2,505,228
100,7.14285,7,311,7,472,245
101,7.2142785,7,318,12,474,253
102,7.285707,7,325,13,469,242
103,7.3571355,7,319,14,450,278
104,7.428564000000001,7,300,26,448,298
105,7.4999925,7,298,31,454,234
106,7.571421,7,309,46,476,282
108,7.714278,15,302,37,448,242
109,7.7857065,15,302,41,424,233
110,7.857135,15,307,41,421,234
111,7.9285635,15,307,40,424,249
112,7.999992,15,300,40,443,233
113,8.0714205,15,302,44,467,234
114,8.142849,15,282,42,453,253
115,8.2142775,15,311,43,437,250
116,8.285706,15,309,45,420,253
116,8.285706,16,263,77,302,161
117,8.3571345,15,301,49,396,241
118,8.428563,15,287,50,387,250
119,8.4999915,15,281,60,383,265
120,8.57142,15,289,78,381,255
121,8.6428485,15,299,83,387,227
122,8.714277000000001,15,295,75,374,243
123,8.7857055,15,293,69,369,217
124,8.857134,15,290,64,368,210
126,8.999991,17,247,47,348,158
127,9.071419500000001,17,243,49,349,200
130,9.285705,18,283,37,359,182
131,9.3571335,18,285,39,369,194
132,9.428562,18,281,41,368,201
133,9.499990500000001,18,281,52,354,190
134,9.571419,18,275,50,352,173
135,9.6428475,18,272,69,352,180
136,9.714276,18,282,52,351,184
137,9.7857045,18,287,72,349,209
138,9.857133000000001,18,287,39,348,198
139,9.9285615,18,297,36,349,202
140,9.99999,18,280,27,386,179
141,10.0714185,18,290,24,382,163
142,10.142847,18,298,17,360,155
143,10.2142755,18,301,22,373,167
144,10.285704,18,305,23,385,182
145,10.3571325,18,303,34,395,206
146,10.428561,18,301,36,390,206
147,10.4999895,18,295,38,373,213
148,10.571418,18,291,42,362,204
149,10.642846500000001,18,284,52,354,222
150,10.714275,18,283,60,356,236
152,10.857132,19,266,60,351,237
153,10.9285605,19,285,57,354,225
154,10.999989000000001,19,287,42,358,207
162,11.571417,20,303,8,368,145
163,11.6428455,20,303,0,366,104
189,13.4999865,21,280,96,369,209
190,13.571415,21,279,95,367,205
193,13.7857005,22,301,99,395,184
196,13.999986,23,324,113,388,195
197,14.0714145,23,324,112,386,199
199,14.2142715,24,300,111,397,215
200,14.2857,24,294,109,384,221
201,14.3571285,24,302,109,380,223
202,14.428557,24,309,112,370,227
204,14.571414,25,298,133,374,213
205,14.6428425,25,297,132,373,211
206,14.714271,25,294,126,374,209
207,14.7856995,25,288,113,369,198
208,14.857128000000001,25,286,107,365,199
209,14.928556500000001,25,285,102,362,190
210,14.999985,25,275,101,366,201
211,15.0714135,25,280,103,364,207
220,15.71427,26,196,111,369,191
221,15.7856985,26,252,109,371,193
222,15.857127,26,248,102,373,192
223,15.9285555,26,210,95,328,299
224,15.999984,26,60,96,235,337
225,16.0714125,26,1,95,178,331
225,16.0714125,27,464,1,556,121
226,16.142841,26,0,92,135,341
228,16.285698,28,316,0,363,82
229,16.3571265,28,298,0,347,86
233,16.642840500000002,29,0,18,110,284
234,16.714269,29,0,26,143,277
236,16.857126,30,306,16,345,92
236,16.857126,31,44,46,153,197
237,16.9285545,30,312,29,349,122
237,16.9285545,31,71,53,170,272
238,16.999983,30,318,41,358,136
238,16.999983,31,94,57,172,283
240,17.14284,32,321,72,361,153
241,17.2142685,32,334,82,368,163
241,17.2142685,33,169,86,257,264
242,17.285697,32,336,86,370,167
242,17.285697,33,153,90,270,216
243,17.357125500000002,32,339,90,373,172
243,17.357125500000002,33,0,150,293,353
244,17.428554000000002,32,334,100,370,180
244,17.428554000000002,33,193,106,277,254
245,17.4999825,32,330,103,364,184
245,17.4999825,33,214,102,278,230
246,17.571411,32,331,94,368,182
246,17.571411,33,221,96,281,259
247,17.6428395,32,339,71,375,148
247,17.6428395,33,239,60,304,222
248,17.714268,32,339,65,377,146
248,17.714268,33,248,57,316,214
249,17.7856965,32,336,61,381,139
249,17.7856965,33,238,54,326,232
250,17.857125,32,341,65,382,145
250,17.857125,33,233,58,323,237
251,17.9285535,32,343,70,382,161
251,17.9285535,33,244,64,325,218
252,17.999982,32,343,74,383,161
252,17.999982,33,249,66,323,232
253,18.0714105,32,344,77,384,157
254,18.142839000000002,32,345,80,386,178
254,18.142839000000002,34,271,79,322,224
255,18.214267500000002,32,351,83,391,166
255,18.214267500000002,34,271,81,329,243
256,18.285696,32,348,84,394,164
256,18.285696,34,272,81,330,236
257,18.3571245,32,347,85,388,171
257,18.3571245,34,263,82,332,251
258,18.428553,32,343,86,384,177
258,18.428553,34,260,89,327,245
259,18.4999815,32,343,86,384,174
259,18.4999815,34,258,92,327,245
260,18.57141,32,342,88,383,184
260,18.57141,34,256,93,326,251
261,18.6428385,32,339,90,383,181
261,18.6428385,34,261,92,330,243
262,18.714267,32,340,91,381,188
262,18.714267,34,264,93,336,251
263,18.7856955,32,336,92,384,189
263,18.7856955,34,256,100,339,251
264,18.857124,32,334,96,382,190
264,18.857124,34,255,102,338,263
265,18.928552500000002,32,334,98,376,189
265,18.928552500000002,34,256,102,333,264
266,18.999981000000002,32,331,97,373,191
266,18.999981000000002,34,269,102,330,217
267,19.0714095,32,336,92,376,184
267,19.0714095,34,274,96,339,248
268,19.142838,32,339,88,382,173
268,19.142838,34,288,89,344,217
269,19.2142665,32,348,84,390,166
269,19.2142665,34,299,81,346,183
270,19.285695,32,308,76,377,222
271,19.3571235,32,326,70,398,215
272,19.428552,32,336,67,399,212
273,19.4999805,32,358,61,420,204
273,19.4999805,35,358,61,449,207
274,19.571409,32,367,58,432,189
275,19.6428375,32,369,57,443,196
276,19.714266000000002,32,390,52,452,211
